n1,n2,mean
10000, 0.6,12.3
10250, 0.6,12.4
10500, 0.6,12.4
10750, 0.6,12.5
11000, 0.6,13.0
11250, 0.6,12.9
11500, 0.6,13.9
11750, 0.6,13.8
12000, 0.6,14.0
12250, 0.6,14.2
12500, 0.6,14.1
12750, 0.6,14.6
13000, 0.6,16.1
13250, 0.6,15.8
13500, 0.6,16.2
13750, 0.6,17.1
14000, 0.6,19.2
14250, 0.6,18.1
14500, 0.6,18.1
14750, 0.6,19.1
15000, 0.6,22.0
15250, 0.6,21.1
15500, 0.6,22.5
15750, 0.6,23.6
16000, 0.6,23.9
16250, 0.6,21.5
16500, 0.6,19.2
16750, 0.6,19.6
17000, 0.6,20.3
17250, 0.6,19.3
17500, 0.6,19.6
17750, 0.6,20.8
18000, 0.6,23.0
18250, 0.6,26.7
18500, 0.6,29.2
18750, 0.6,21.0
19000, 0.6,24.5
19250, 0.6,24.3
19500, 0.6,22.6
19750, 0.6,24.7
20000, 0.6,24.2
20250, 0.6,23.3
20500, 0.6,25.6
20750, 0.6,22.8
21000, 0.6,25.5
21250, 0.6,25.7
21500, 0.6,26.4
21750, 0.6,24.3
22000, 0.6,24.2
22250, 0.6,24.4
22500, 0.6,24.8
22750, 0.6,24.4
23000, 0.6,26.9
23250, 0.6,26.1
23500, 0.6,26.7
23750, 0.6,26.8
24000, 0.6,26.7
24250, 0.6,26.3
24500, 0.6,26.8
24750, 0.6,27.2
25000, 0.6,26.6
25250, 0.6,25.9
25500, 0.6,27.3
25750, 0.6,28.2
26000, 0.6,27.4
26250, 0.6,27.4
26500, 0.6,31.2
26750, 0.6,31.1
27000, 0.6,31.0
27250, 0.6,30.8
27500, 0.6,31.2
27750, 0.6,28.7
28000, 0.6,30.6
28250, 0.6,30.5
28500, 0.6,31.2
28750, 0.6,31.5
29000, 0.6,30.6
29250, 0.6,31.7
29500, 0.6,31.9
29750, 0.6,32.9
30000, 0.6,31.7
30250, 0.6,31.6
30500, 0.6,33.0
30750, 0.6,34.0
31000, 0.6,32.8
31250, 0.6,32.2
31500, 0.6,36.7
31750, 0.6,45.1
32000, 0.6,39.5
32250, 0.6,39.4
32500, 0.6,40.2
32750, 0.6,52.6
33000, 0.6,37.8
33250, 0.6,35.5
33500, 0.6,39.0
33750, 0.6,39.0
34000, 0.6,40.0
34250, 0.6,36.1
34500, 0.6,38.8
34750, 0.6,36.2
35000, 0.6,36.4
35250, 0.6,36.8
35500, 0.6,37.4
35750, 0.6,36.5
36000, 0.6,38.2
36250, 0.6,38.2
36500, 0.6,37.2
36750, 0.6,39.4
37000, 0.6,39.8
37250, 0.6,38.9
37500, 0.6,40.0
37750, 0.6,38.7
38000, 0.6,38.6
38250, 0.6,40.6
38500, 0.6,39.5
38750, 0.6,41.1
39000, 0.6,41.2
39250, 0.6,41.6
39500, 0.6,39.0
39750, 0.6,39.5
40000, 0.6,41.9
40250, 0.6,41.5
40500, 0.6,49.5
40750, 0.6,50.7
41000, 0.6,45.7
41250, 0.6,48.6
41500, 0.6,43.0
41750, 0.6,43.2
42000, 0.6,42.0
42250, 0.6,42.1
42500, 0.6,42.7
42750, 0.6,43.3
43000, 0.6,43.2
43250, 0.6,48.6
43500, 0.6,43.8
43750, 0.6,44.4
44000, 0.6,47.1
44250, 0.6,50.6
44500, 0.6,52.1
44750, 0.6,45.1
45000, 0.6,51.5
45250, 0.6,45.1
45500, 0.6,50.9
45750, 0.6,46.0
46000, 0.6,52.6
46250, 0.6,53.9
46500, 0.6,47.1
46750, 0.6,46.8
47000, 0.6,48.1
47250, 0.6,47.1
47500, 0.6,46.5
47750, 0.6,50.3
48000, 0.6,50.5
48250, 0.6,44.7
48500, 0.6,43.6
48750, 0.6,44.1
49000, 0.6,45.0
49250, 0.6,44.5
49500, 0.6,45.1
49750, 0.6,44.7
50000, 0.6,44.9
50250, 0.6,45.8
50500, 0.6,45.3
50750, 0.6,46.8
51000, 0.6,46.5
51250, 0.6,47.6
51500, 0.6,47.3
51750, 0.6,47.7
52000, 0.6,45.9
52250, 0.6,47.0
52500, 0.6,47.9
52750, 0.6,48.1
53000, 0.6,47.0
53250, 0.6,47.9
53500, 0.6,48.8
53750, 0.6,48.1
54000, 0.6,49.1
54250, 0.6,50.0
54500, 0.6,49.2
54750, 0.6,49.2
55000, 0.6,50.2
55250, 0.6,51.1
55500, 0.6,50.4
55750, 0.6,51.0
56000, 0.6,50.5
56250, 0.6,51.6
56500, 0.6,51.5
56750, 0.6,51.2
57000, 0.6,53.0
57250, 0.6,52.4
57500, 0.6,51.4
57750, 0.6,52.8
58000, 0.6,53.3
58250, 0.6,52.9
58500, 0.6,52.8
58750, 0.6,53.0
59000, 0.6,53.4
59250, 0.6,52.2
59500, 0.6,53.9
59750, 0.6,51.9
60000, 0.6,54.0
60250, 0.6,55.7
60500, 0.6,55.1
60750, 0.6,55.0
61000, 0.6,55.3
61250, 0.6,55.4
61500, 0.6,56.2
61750, 0.6,56.9
62000, 0.6,56.5
62250, 0.6,55.9
62500, 0.6,55.3
62750, 0.6,56.7
63000, 0.6,56.6
63250, 0.6,56.8
63500, 0.6,58.0
63750, 0.6,58.9
64000, 0.6,58.6
64250, 0.6,59.5
64500, 0.6,59.3
64750, 0.6,58.9
65000, 0.6,59.2
65250, 0.6,60.9
65500, 0.6,58.9
65750, 0.6,59.1
66000, 0.6,59.1
66250, 0.6,59.3
66500, 0.6,60.6
66750, 0.6,59.6
67000, 0.6,60.8
67250, 0.6,61.0
67500, 0.6,60.1
67750, 0.6,61.0
68000, 0.6,62.4
68250, 0.6,62.3
68500, 0.6,60.4
68750, 0.6,62.8
69000, 0.6,61.7
69250, 0.6,62.1
69500, 0.6,63.9
69750, 0.6,63.0
70000, 0.6,63.2
70250, 0.6,67.7
70500, 0.6,64.4
70750, 0.6,62.9
71000, 0.6,66.9
71250, 0.6,63.4
71500, 0.6,63.6
71750, 0.6,64.3
72000, 0.6,63.5
72250, 0.6,67.4
72500, 0.6,64.6
72750, 0.6,65.4
73000, 0.6,66.1
73250, 0.6,66.3
73500, 0.6,64.8
73750, 0.6,66.8
74000, 0.6,73.1
74250, 0.6,68.5
74500, 0.6,70.5
74750, 0.6,66.7
75000, 0.6,70.2
75250, 0.6,66.4
75500, 0.6,67.3
75750, 0.6,66.7
76000, 0.6,68.0
76250, 0.6,71.4
76500, 0.6,68.6
76750, 0.6,70.0
77000, 0.6,70.0
77250, 0.6,71.2
77500, 0.6,68.8
77750, 0.6,70.3
78000, 0.6,70.9
78250, 0.6,69.6
78500, 0.6,69.9
78750, 0.6,70.7
79000, 0.6,68.9
79250, 0.6,71.2
79500, 0.6,72.2
79750, 0.6,75.7
80000, 0.6,70.7
80250, 0.6,71.6
80500, 0.6,74.1
80750, 0.6,72.8
81000, 0.6,73.9
81250, 0.6,71.2
81500, 0.6,72.2
81750, 0.6,70.9
82000, 0.6,71.9
82250, 0.6,75.9
82500, 0.6,73.8
82750, 0.6,73.1
83000, 0.6,71.6
83250, 0.6,74.7
83500, 0.6,75.0
83750, 0.6,75.1
84000, 0.6,76.7
84250, 0.6,75.8
84500, 0.6,75.0
84750, 0.6,77.1
85000, 0.6,76.3
85250, 0.6,77.0
85500, 0.6,76.2
85750, 0.6,76.4
86000, 0.6,77.4
86250, 0.6,78.2
86500, 0.6,76.5
86750, 0.6,78.0
87000, 0.6,79.7
87250, 0.6,76.2
87500, 0.6,79.7
87750, 0.6,79.9
88000, 0.6,78.2
88250, 0.6,79.5
88500, 0.6,76.8
88750, 0.6,79.0
89000, 0.6,80.5
89250, 0.6,79.9
89500, 0.6,81.0
89750, 0.6,81.2
90000, 0.6,81.6
90250, 0.6,78.8
90500, 0.6,79.0
90750, 0.6,82.2
91000, 0.6,82.8
91250, 0.6,81.8
91500, 0.6,82.2
91750, 0.6,81.1
92000, 0.6,81.9
92250, 0.6,84.7
92500, 0.6,91.6
92750, 0.6,82.4
93000, 0.6,83.1
93250, 0.6,83.7
93500, 0.6,83.0
93750, 0.6,84.4
94000, 0.6,83.7
94250, 0.6,84.5
94500, 0.6,88.4
94750, 0.6,83.8
95000, 0.6,86.2
95250, 0.6,84.2
95500, 0.6,88.6
95750, 0.6,84.0
96000, 0.6,85.4
96250, 0.6,88.5
96500, 0.6,94.5
96750, 0.6,87.3
97000, 0.6,87.9
97250, 0.6,87.8
97500, 0.6,88.3
97750, 0.6,86.8
98000, 0.6,87.3
98250, 0.6,85.4
98500, 0.6,87.6
98750, 0.6,88.9
99000, 0.6,89.1
99250, 0.6,86.7
99500, 0.6,84.8
99750, 0.6,85.6
100000, 0.6,91.2
